Nama,Karbohidrat,Protein,kalori,Lemak,Energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,berat
Kentang Goreng,35.66g,3.48g,274 kkal,14.06g,1146 kj,3.278g,0mg,3.3g,0.58g,300mg,527mg,100 gram (g)
Mie,25.01g,4.51g,137 kkal,2.06g,573 kj,0.417g,29mg,1.2g,0.4g,236mg,38mg,100 gram (g)
Nasi Putih,27.9g,2.66g,129 kkal,0.28g,540 kj,0.076g,0mg,0.4g,0.05g,365mg,35mg,100 gram (g)
Roti Putih,50.61g,7.64g,266 kkal,3.29g,1113 kj,0.717g,0mg,2.4g,4.31g,681mg,100mg,100 gram (g)
Donat Dilapisi Coklat,48g,5g,474 kkal,31g,1983 kj,8.107g,61mg,2g,23.37g,429mg,196mg,100 gram (g)
Spageti,30.68g,5.76g,157 kkal,0.92g,657 kj,0.175g,0mg,1.8g,0.56g,232mg,45mg,100 gram (g)
Dairy Milk Chocholate,18.00g,2.00g,160 kkal,9.00g,669 kj,5.000g,9mg,3.0g,15.00g,20mg,-,1 slice (30 g)
Pizza dengan Daging,31.45g,12.09g,301 kkal,13.8g,1259 kj,5.491g,24mg,1.6g,2.01g,693mg,206mg,100 gram (g)
Roti Bakar,53.71g,12.84g,307 kkal,5.62g,1283 kj,0.836g,0mg,6.4g,4.02g,372mg,330mg,100 gram (g)
Chicken Burger,42.00g,22.00g,480 kkal,25.00g,2008 kj,2.500g,5mg,2.0g,10.00g,1160mg,0mg,1 porsi (257 g)
Jasuke,39.72g,5.02g,197 kkal,2.47g,824 kj,1.379g,8mg,1g,24.55g,128mg,180mg,100 gram (g)
Ayam Goreng,10.76g,21.93g,260 kkal,14.55g,1090 kj,8.964g,57mg,1.4g,0.26g,350mg,323mg,100 gram (g)
Martabak Manis,41.52g,7.78g,300 kkal,12.57g,1257 kj,5.241g,73mg,2g,22.47g,250mg,185mg,100 gram (g)
Bubur Ayam,15.05g,11.48g,155 kkal,5.16g,649 kj,1.397g,2.1g,30mg,0.8g,0.08g,244mg,100 gram (g)
Nasi Uduk,20.52g,2.54g,163 kkal,8.09g,680 kj,7.063g,0mg,1g,1.14g,198mg,110mg,100 gram (g)
Singkong Goreng,31.85g,1.38g,202 kkal,7.91g,847 kj,0.61g,0mg,1.5g,1.36g,281mg,217mg,100 gram (g)
Gulai Kambing,6.44g,4.71g,125 kkal,9.6g,525 kj,5.519g,12mg,1g,3.1g,163mg,173mg,100 gram (g)
Telur,0.77g,12.58g,147 kkal,9.94g,615 kj,3.099g,423mg,0g,0.77g,140mg,134mg,100 gram (g)
Kurma,75.03g,2.45g,282 kkal,0.39g,1180 kj,0.032g,0mg,8g,63.35g,2mg,656mg,100 gram (g)
Es Krim,24.4g,3.52g,201 kkal,10.72g,841 kj,6.618g,40mg,0.7g,22.3g,74mg,202mg,100 gram (g)
Kacang Almond,19.74g,21.26g,578 kkal,50.64g,2418 kj,3.881g,0mg,11.8g,4.8g,1mg,728mg,100 gram (g)
Kentang Rebus,20.13g,1.87g,87 kkal,0.1g,364 kj,0.026g,0mg,1.8g,0.87g,4mg,379mg,100 gram (g)
